BE	Start	Ende	Durchlaufzeit	Anteil_Produktion	Anteil_Liegezeit	Liefertermin	Termintreue	Difference Reward	DebugStammdaten	Reward
Auftrag_Typ_1:8	01.10.2020 00:01:20.9024	01.10.2020 00:16:10.8787	14:49.9764	0.51	0.49	01.10.2020 00:33:54.2357	45.56			1
Auftrag_Typ_1:9	01.10.2020 00:01:21.1145	01.10.2020 01:02:13.8862	1:00:52.7716	0.07	0.93	01.10.2020 00:33:54.4479	187.00			-5
Auftrag_Typ_3:11	01.10.2020 00:01:22.7562	01.10.2020 00:05:34.3332	4:11.5769	0.84	0.16	01.10.2020 00:34:26.0896	12.68			1
Auftrag_Typ_3:12	01.10.2020 00:01:22.7891	01.10.2020 00:17:57.3241	16:34.5350	0.33	0.67	01.10.2020 00:34:26.1224	50.14			1
Auftrag_Typ_5:7	01.10.2020 00:01:23.2740	01.10.2020 01:00:46.6631	59:23.3891	0.46	0.54	01.10.2020 01:37:01.6073	62.10			1
Auftrag_Typ_3:13	01.10.2020 00:01:25.0528	01.10.2020 00:22:22.0732	20:57.0204	0.22	0.78	01.10.2020 00:34:28.3861	63.38			1
Auftrag_Typ_1:10	01.10.2020 00:01:28.0901	01.10.2020 00:25:19.8581	23:51.7680	0.16	0.84	01.10.2020 00:34:01.4234	73.30			1
Auftrag_Typ_1:11	01.10.2020 00:01:29.4924	01.10.2020 01:06:38.9430	1:05:09.4506	0.06	0.94	01.10.2020 00:34:02.8257	200.14			-5
Auftrag_Typ_3:14	01.10.2020 00:01:30.3764	01.10.2020 00:32:44.7241	31:14.3477	0.16	0.84	01.10.2020 00:34:33.7097	94.50			10
Auftrag_Typ_4:3	01.10.2020 00:01:31.0725	01.10.2020 01:08:43.4508	1:07:12.3784	0.20	0.80	01.10.2020 00:54:37.4058	126.55			-3
Auftrag_Typ_2:1	01.10.2020 00:01:31.5934	01.10.2020 00:17:56.0241	16:24.4306	0.18	0.82	01.10.2020 00:37:58.2601	45.02			1
Auftrag_Typ_3:15	01.10.2020 00:01:32.0519	01.10.2020 00:21:26.3532	19:54.3012	0.92	0.08	01.10.2020 00:34:35.3853	60.22			1
Auftrag_Typ_5:8	01.10.2020 00:01:35.3021	01.10.2020 00:24:58.0841	23:22.7820	0.93	0.07	01.10.2020 01:37:13.6354	24.45			1
